# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59958.22575661078 3.25 0.75 0.9855488375731761 0.0003759930342324702 0.9782344178751383 1.0073407289682963 0.9854153716042188 0.00013346596895735807
59958.22599067588 3.25 0.75 0.9862464337054827 0.0003761423495920661 0.9782247837033681 1.0073403582295453 0.9854053040447702 0.0008411296607124807
59958.226224740974 3.25 0.75 0.9850053533164503 0.0003759325913657375 0.9782152936776508 1.0073399874907942 0.9853953816965484 -0.00039002838009805085
59958.226458806064 3.25 0.75 0.9857467378439285 0.0003759883072211467 0.9782059462203275 1.007339616752055 0.985385602970166 0.0003611348737625475
59958.22669287117 3.25 0.75 0.985463269398846 0.00037599170895883516 0.978196739790385 1.0073392460132924 0.9853759663131072 8.730308573878798e-05
59958.22692693627 3.25 0.75 0.9849671620150883 0.00037589233234007203 0.9781876728850109 1.00733887527453 0.9853664702113968 -0.0003993081963085121
59958.22716100136 3.25 0.75 0.9852701747047786 0.0003759303393101976 0.9781787440370978 1.0073385045357905 0.985357113187028 -8.693848224938794e-05
59958.22739506646 3.25 0.75 0.9853974016249518 0.00037601143427797343 0.9781699518129212 1.0073381337970395 0.9853478937955681 4.950782938373255e-05
59958.22762913156 3.25 0.75 0.9845268126875417 0.00037581334588345254 0.9781612948137159 1.0073377630582887 0.9853388106278479 -0.000811997940306175
59958.22786319666 3.25 0.75 0.984660225996677 0.00037576406416103163 0.9781527716731172 1.0073373923195261 0.9853298623073147 -0.0006696363106376557
59958.22809726175 3.25 0.75 0.9856934980334239 0.00037594769514804726 0.9781443810578948 1.0073370215807869 0.985321047490842 0.00037245054258183696
59958.22833132685 3.25 0.75 0.9855029008751857 0.00037591393674954546 0.9781361216644933 1.0073366508420358 0.9853123648651287 0.00019053601005691867
59958.228565391946 3.25 0.75 0.9855846051466784 0.00037602311450676764 0.9781279922208636 1.0073362801032848 0.9853038131486593 0.00028079199801911425
59958.22879945704 3.25 0.75 0.985232469193366 0.00037596790878135757 0.9781199914843796 1.007335909364534 0.9852953910895477 -6.292189618162247e-05
59958.22903352214 3.25 0.75 0.9856692510381981 0.000375955082699247 0.9781121182413605 1.007335538625783 0.9852870974650664 0.00038215357313176046
59958.22926758724 3.25 0.75 0.9854776102622019 0.00037614124964992067 0.9781043713063586 1.007335167887032 0.9852789310809306 0.0001986791812713662
59958.22950165234 3.25 0.75 0.9853173836965837 0.00037586994191177766 0.978096749521237 1.0073347971482696 0.9852708907703571 4.64929262266045e-05
59958.22973571743 3.25 0.75 0.9845894093541978 0.00037586110867692066 0.9780892517556824 1.00733442640953 0.9852629753946368 -0.0006735660404389998
59958.22996978254 3.25 0.75 0.9848808017254926 0.0003758920253823368 0.9780818769039894 1.0073340556707677 0.9852551838397723 -0.00037438211427964774
59958.23020384763 3.25 0.75 0.9857179172717244 0.0003760099761142855 0.9780746238879335 1.0073336849320282 0.9852475150195397 0.00047040225218475396
59958.23043791273 3.25 0.75 0.9856016165390973 0.0003760100728182916 0.978067491652507 1.0073333141932657 0.985239967871014 0.0003616486680833031
59958.23067197782 3.25 0.75 0.9855191619128018 0.0003758830591262967 0.9780604791689567 1.0073329434545264 0.9852325413578096 0.00028662055499217853
59958.230906042925 3.25 0.75 0.9854319302834177 0.00037597583404574254 0.9780535854306823 1.0073325727157638 0.9852252344657664 0.0002066958176513145
59958.231140108015 3.25 0.75 0.9850582914166818 0.00037581054012252605 0.9780468094561932 1.0073322019770243 0.9852180462061102 -0.00015975478942842347
59958.23137417312 3.25 0.75 0.9852148703896975 0.000376022831697754 0.9780401502851642 1.007331831238262 0.9852109756112994 3.894778398016996e-06
59958.23160823821 3.25 0.75 0.9854233278710715 0.00037597765559805116 0.9780336069813106 1.0073314604995225 0.9852040217380996 0.00021930613297183044
59958.231842303314 3.25 0.75 0.985879205268689 0.0003761539633662329 0.9780271786285959 1.0073310897607601 0.9851971836635851 0.0006820216051038885
59958.232076368404 3.25 0.75 0.985397937188751 0.00037579995394110456 0.9780208643340244 1.0073307190220206 0.9851904604881309 0.00020747670062015722
59958.23231043351 3.25 0.75 0.9852343766375253 0.00037588535570886884 0.9780146632239972 1.007330348283258 0.9851838513315625 5.052530596283411e-05
59958.2325444986 3.25 0.75 0.9850096115269648 0.0003758399229433736 0.978008574447021 1.0073299775445188 0.9851773553360645 -0.00016774380909978515
59958.2327785637 3.25 0.75 0.9847651772814281 0.0003758989524251972 0.9780025971702075 1.0073296068057562 0.9851709716624736 -0.0004057943810454878
59958.23301262879 3.25 0.75 0.9849460468449196 0.0003759728613699528 0.977996730581899 1.007329236067017 0.9851646994931045 -0.0002186526481848805
59958.2332466939 3.25 0.75 0.9854286180578272 0.00037603418911172836 0.9779909738883065 1.0073288653282544 0.9851585380281822 0.00027008002964501454
59958.23348075899 3.25 0.75 0.9850576307966159 0.0003758609924881206 0.9779853263160525 1.007328494589515 0.9851524864885847 -9.485569196876487e-05
59958.23371482409 3.25 0.75 0.9846690691971693 0.00037581944942280615 0.9779797871089437 1.0073281238507525 0.9851465441124106 -0.0004774749152413049
59958.23394888918 3.25 0.75 0.9848142573049894 0.00037589840608757784 0.9779743555304307 1.007327753112013 0.9851407101576377 -0.0003264528526483179
59958.234182954286 3.25 0.75 0.9851630044642593 0.000375931255015603 0.977969030860512 1.0073273823732507 0.9851349838988244 2.8020565434938582e-05
59958.234417019376 3.25 0.75 0.9848763713298104 0.00037583290098197847 0.9779638123981098 1.0073270116345112 0.9851293646296817 -0.0002529932998712736
59958.23465108448 3.25 0.75 0.98507158203483 0.00037592039273775754 0.9779586994581039 1.0073266408957486 0.9851238516599068 -5.2269625076761805e-05
59958.23488514957 3.25 0.75 0.9851860432098032 0.00037586816419266534 0.9779536913736216 1.0073262701570094 0.9851184443176694 6.759889213381332e-05
59958.23511921467 3.25 0.75 0.9849460418671648 0.00037595807693221713 0.9779487874933499 1.0073258994182583 0.9851131419467339 -0.00016710007956910466
59958.235353279764 3.25 0.75 0.9853862738352729 0.0003759906095781583 0.9779439871829873 1.0073255286795073 0.9851079439080479 0.00027832992722498506
59958.23558734486 3.25 0.75 0.9843621130595198 0.00037575084374545095 0.9779392898241793 1.0073251579407565 0.9851028495786127 -0.0007407365190928994
59958.23582140996 3.25 0.75 0.9848830228271318 0.00037595130328551575 0.9779346948144108 1.0073247872020055 0.9850978583513845 -0.00021483552425272112
59958.236055475056 3.25 0.75 0.9850783311929112 0.0003758272697854756 0.9779302015667473 1.0073244164632544 0.9850929696350165 -1.4638442105252558e-05
59958.23628954015 3.25 0.75 0.9848839944391294 0.0003758951139689057 0.9779258095095861 1.0073240457245036 0.9850881828536066 -0.00020418841447711333
59958.23652360525 3.25 0.75 0.9852306956898195 0.00037594292154046914 0.9779215180864161 1.0073236749857526 0.9850834974464548 0.00014719824336462128
59958.23675767035 3.25 0.75 0.984998765044605 0.0003759426591091542 0.9779173267555843 1.0073233042470018 0.9850789128678301 -8.014782322507408e-05
59958.23699173544 3.25 0.75 0.9851207103887769 0.0003758013344637631 0.9779132349901982 1.0073229335082623 0.9850744285868811 4.628180189580888e-05
59958.23722580054 3.25 0.75 0.9846192542745961 0.00037583630090049224 0.9779092422772797 1.0073225627694997 0.985070044086729 -0.000450789812132979
59958.23745986564 3.25 0.75 0.9848931484399921 0.00037591345357084073 0.9779053481188134 1.007322192030749 0.9850657588656356 -0.0001726104256435379
59958.23769393073 3.25 0.75 0.9847920643005812 0.00037586894271521683 0.9779015520304032 1.0073218212920094 0.9850615724355485 -0.000269508134967289
59958.237927995826 3.25 0.75 0.9848968497215014 0.000375969585518301 0.9778978535412381 1.0073214505532584 0.9850574843220778 -0.00016063460057647028
59958.23816206092 3.25 0.75 0.9851235123563669 0.0003759354858218736 0.9778942521944859 1.0073210798145076 0.9850534940649499 7.001829141695115e-05
59958.23839612603 3.25 0.75 0.9859294067409371 0.00037608905432439586 0.9778907475465283 1.007320709075745 0.9850496012171792 0.0008798055237578817
59958.23863019112 3.25 0.75 0.985081535075481 0.0003759672664511244 0.9778873391674443 1.0073203383370057 0.9850458053456242 3.5729729856770476e-05
59958.238864256215 3.25 0.75 0.984615155739178 0.00037580770836418575 0.9778840266397665 1.0073199675982547 0.9850421060296204 -0.00042695029044237387
59958.23909832131 3.25 0.75 0.9847041317054209 0.000375748546336476 0.9778808095593929 1.0073195968595037 0.9850385028620128 -0.00033437115659185057
59958.23933238641 3.25 0.75 0.9854044499550092 0.0003759795719718507 0.9778776875348932 1.0073192261207529 0.9850349954484 0.0003694545066091903
59958.239566451506 3.25 0.75 0.9843902707808884 0.0003758451005060089 0.9778746601874663 1.0073188553820018 0.9850315834071025 -0.0006413126262141411
59958.239800516596 3.25 0.75 0.9855345804895058 0.00037602436640049233 0.9778717271508842 1.0073184846432623 0.9850282663691184 0.0005063141203873744
59958.2400345817 3.25 0.75 0.9847911976317855 0.00037589295008703445 0.9778688880709051 1.0073181139045 0.9850250439774747 -0.000233846345689237
59958.2402686468 3.25 0.75 0.9848855924211359 0.0003757893193073188 0.9778661426060363 1.007317743165749 0.985021915888109 -0.00013632346697300957
59958.24050271189 3.25 0.75 0.9853758394484758 0.0003759069196372823 0.9778634904265889 1.0073173724270097 0.9850188817688159 0.0003569576796599305
59958.240736776985 3.25 0.75 0.9843619253131402 0.00037581413878539 0.9778609312146767 1.0073170016882587 0.9850159412992566 -0.000654015986116474
59958.24097084208 3.25 0.75 0.9845964191730613 0.0003757778555054124 0.9778584646645029 1.0073166309495076 0.9850130941713052 -0.0004166749982439377
59958.241204907186 3.25 0.75 0.9853919114180825 0.0003759852615639242 0.9778560904818415 1.0073162602107453 0.9850103400884688 0.00038157132961369467
59958.241438972276 3.25 0.75 0.9842921321893104 0.00037562997947200783 0.9778538083843747 1.0073158894720058 0.9850076787662948 -0.0007155465769843605
59958.241673037366 3.25 0.75 0.9848905340651787 0.000375918391175893 0.9778516181009322 1.0073155187332663 0.9850051099315044 -0.0001145758663256835
